ep_1,ep_2,ep_3,ep_100,ep_2500,ep_5000,ep_10000,ep_25000,ep_50000,ep_100000,hs_1,hs_2,hs_3,hs_100,hs_2000,hs_5000,hs_10000,hs_20000,lp_1,lp_2,lp_3,lp_10,lp_50,lp_100,lp_250,lp_500,name_jp,start_date,boost_date,end_date,count
3157650,2651441,2552783,880752,166854,75049,51818,35256,30225,3954,1388262,1387997,1380960,1332771,1203516,1142150,1092154,1033065,18910649,18110530,15479335,7348141,2990222,2199020,1522871,1075500,プラチナスターシアター～Eternal Harmony～,2018-06-04T15:00:00+09:00,2018-06-08T15:00:00+09:00,2018-06-11T20:59:59+09:00,157141
3250345,3039375,3003970,1271160,206680,89168,57601,42226,32787,5920,1114050,1113768,1113567,1084111,998398,944923,902664,848768,26297581,19034039,15498599,7655316,3740025,2686105,1779227,1299564,プラチナスターツアー～咲くは浮世の君花火～,2018-06-20T15:00:00+09:00,2018-06-24T15:00:00+09:00,2018-06-27T20:59:59+09:00,135722
3601159,3500000,3230811,660504,193671,91396,60645,46238,35456,16906,1132991,1127199,1118669,1090937,1039944,1002559,961932,912204,20891588,13673615,12848571,7567716,3168023,2484507,1824150,1381726,プラチナスターツアー～Blooming Star～,2018-07-21T15:00:00+09:00,2018-07-25T15:00:00+09:00,2018-07-29T20:59:59+09:00,180002
3402525,2508841,2200818,770876,145371,72238,52361,38190,30893,8945,1373362,1370424,1368984,1315515,1202057,1147999,1101575,1041508,24843340,11629398,10856995,7538840,3112492,2204030,1529030,1139882,プラチナスターシアター～サンリズム・オーケストラ♪～,2018-08-03T15:00:00+09:00,2018-08-07T15:00:00+09:00,2018-08-11T20:59:59+09:00,176670
4384308,4153325,3428556,1471307,276096,96842,59450,44847,34316,10743,1168359,1163272,1159869,1113480,1015777,960544,913693,846835,52875092,25750040,15093122,11198107,4127474,2922055,1978710,1430229,プラチナスターツアー～ビッグバンズバリボー!!!!!～,2018-08-20T15:00:00+09:00,2018-08-24T15:00:00+09:00,2018-08-28T20:59:59+09:00,145088
3315807,3235582,3227116,1376140,290383,108114,58793,40989,31077,6456,1417109,1408354,1404288,1360520,1259587,1203997,1154324,1092488,34102317,33555525,23206994,13793832,4034874,3079046,2014787,1376329,プラチナスターシアター～brave HARMONY～,2018-09-03T15:00:00+09:00,2018-09-07T15:00:00+09:00,2018-09-10T20:59:59+09:00,155062
3600000,3417417,3333333,1692063,343241,104320,59154,40575,31940,10100,1121573,1121035,1109249,1082420,1003496,958368,920811,872742,63999815,21809604,21468572,13690273,4272079,3089212,2082256,1416059,プラチナスターツアー～オーディナリィ・クローバー～,2018-09-21T15:00:00+09:00,2018-09-24T15:00:00+09:00,2018-09-27T20:59:59+09:00,138994
4191391,4040404,3869929,1319369,249112,90199,55344,40007,31596,8457,1416284,1398214,1396364,1345002,1232200,1172436,1121875,1059097,48500285,37467117,20693299,12221037,4504125,2793673,1809375,1302987,プラチナスターシアター～Starry Melody～,2018-10-03T15:00:00+09:00,2018-10-07T15:00:00+09:00,2018-10-11T20:59:59+09:00,160926
4787305,4501326,4424436,2814923,814482,188906,77432,50882,37380,15844,1164458,1158468,1153947,1123091,1037015,992683,949940,898939,82332687,59543973,45814217,26777001,10026657,5977255,3458215,2177673,プラチナスターツアー～ラスト・アクトレス～,2018-10-22T15:00:00+09:00,2018-10-26T15:00:00+09:00,2018-10-30T20:59:59+09:00,150368
3090000,3000000,2523030,901461,139831,65452,51018,34046,30310,4171,1469524,1458253,1454011,1408185,1290721,1230201,1177918,1109054,20367066,16350513,14761876,8303528,2821313,2026617,1402718,1047370,プラチナスターシアター～ジャングル☆パーティー～,2018-11-05T15:00:00+09:00,2018-11-09T15:00:00+09:00,2018-11-12T20:59:59+09:00,145250
