"name","image","rarity","team","idol","level","master","number","life","total_min","dance_min","total_MAX","dance_MAX","total_MM","dance_MM","vocal_min","visual_min","vocal_MAX","visual_MAX","vocal_MM","visual_MM","get_card","center","skill_type","skill","date","evol","gasya"
"天海春香【N】","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1499436164.jpg","N","プリンセス","天海春香","20","4","1","25","2768","671","5272","1278","6216","1506","1195","902","2276","1718","2684","2026","

","NULL","NULL","NULL","2017-06-29","

","NULL"
"セクシークロコダイル　徳川まつり","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498706470001.jpg","SR","プリンセス","徳川まつり","60","4","169","35","5674","1888","11162","3714","12722","4234","1368","2418","2692","4756","3068","5420","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Princessコーデ
Princessタイプのビジュアル値が60%アップ
","スコアアップ

","ミステリアス・ビジョン
11秒ごとに31%の確率で6秒間、Perfectのスコアが26%アップ
","2017-06-29","セクシークロコダイル　徳川まつり＋

","○

"
"シアターデイズ　桜守歌織","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498725409.jpg","R","エンジェル","桜守歌織","40","4","155","30","4208","1745","8150","3404","9374","3916","1018","1415","1986","2760","2282","3176","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Angelステップ
Angelタイプのダンス値が30％アップ
","コンボボーナス

","心地よいハーモニー
7秒ごとに31％の確率で5秒間、コンボボーナスが14％アップ
","2017-06-29","シアターデイズ　桜守歌織＋

","○

"
"こぶんのヒミツ基地！　大神環","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498714191.jpg","R","エンジェル","大神環","40","4","149","30","4147","1335","8032","2604","9240","2996","1845","937","3600","1828","4140","2104","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Angelテクニック
Angelタイプのスキル発動率が10％アップ
","判定強化

","もうすぐ完成！
11秒ごとに21％の確率で5秒間、GreatをPerfectにする
","2017-06-29","こぶんのヒミツ基地！　大神環＋

","○

"
"宴もたけなわ　馬場このみ","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1537545553.jpg","R","エンジェル","馬場このみ","40","4","147","30","4220","1808","8234","3528","9470","4056","1406","1006","2744","1962","3156","2258","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Angelチャージ
Angelタイプのライフが20％アップ
","ライフ回復

","乾杯しよっ！
11秒ごとに31％の確率で5秒間、Perfectでライフが2回復
","2017-06-29","宴もたけなわ　馬場このみ＋

","○

"
"はじめてのステージ　箱崎星梨花","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498722937.jpg","R","エンジェル","箱崎星梨花","40","4","131","30","4182","1329","8102","2594","9318","2982","1390","1433","2712","2796","3120","3216","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Angelシャイン
Angelタイプの全アピール値が10％アップ
","スコアアップ

","うきうきポーズ
9秒ごとに31％の確率で6秒間、Perfectのスコアが20％アップ
","2017-06-29","はじめてのステージ　箱崎星梨花＋

","○

"
"カーニバルステージ　島原エレナ","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1537544467.jpg","R","エンジェル","島原エレナ","40","4","125","30","4202","978","8198","1908","9430","2196","1439","1785","2808","3482","3228","4006","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Angelチャージ
Angelタイプのライフが20%アップ
","ライフ回復

","お祭り騒ぎ
13秒ごとに31%の確率で6秒間、Perfectでライフが2回復
","2017-06-29","カーニバルステージ　島原エレナ＋

","○

"
"シアターデイズ　伊吹翼","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498713877.jpg","R","エンジェル","伊吹翼","40","4","123","30","4190","1400","8116","2732","9332","3140","931","1829","1816","3568","2088","4104","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Angelコーデ
Angelタイプのビジュアル値が30％アップ
","スコアアップ

","トリコにしてあげる♪
9秒ごとに31％の確率で6秒間、Perfectのスコアが20％アップ
","2017-06-29","シアターデイズ　伊吹翼＋

","○

"
"天真爛漫　双海亜美","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498715615.jpg","R","エンジェル","双海亜美","40","4","115","30","4248","996","8290","1944","9534","2236","1818","1434","3548","2798","4080","3218","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Angelハーモニー
Angelタイプのボーカル値が30％アップ
","スコアアップ

","無邪気ターン
7秒ごとに31％の確率で5秒間、Perfectのスコアが20％アップ
","2017-06-29","天真爛漫　双海亜美＋

","○

"
"おとなのお花見　三浦あずさ","https://cdn.img-conv.gamerch.com/img.gamerch.com/imasml-theater-wiki/wikidb_img/1498715015.jpg","R","エンジェル","三浦あずさ","40","4","113","30","4222","1853","8180","3616","9408","4160","995","1344","1942","2622","2234","3014","プラチナガシャ
ようこそ！プロデューサーさんガシャ
","Angelステップ
Angelタイプのダンス値が30％アップ
","スコアアップ

","のんびりお花見
9秒ごとに31％の確率で6秒間、Perfectのスコアが20％アップ
","2017-06-29","おとなのお花見　三浦あずさ＋

","○

"
